date,holiday,lunardate
20170101,2,20161204
20170102,1,20161205
20170103,0,20161206
20170104,0,20161207
20170105,0,20161208
20170106,0,20161209
20170107,1,20161210
20170108,1,20161211
20170109,0,20161212
20170110,0,20161213
20170111,0,20161214
20170112,0,20161215
20170113,0,20161216
20170114,1,20161217
20170115,1,20161218
20170116,0,20161219
20170117,0,20161220
20170118,0,20161221
20170119,0,20161222
20170120,0,20161223
20170121,1,20161224
20170122,0,20161225
20170123,0,20161226
20170124,0,20161227
20170125,0,20161228
20170126,0,20161229
20170127,2,20161230
20170128,2,20170101
20170129,2,20170102
20170130,1,20170103
20170131,1,20170104
20170201,1,20170105
20170202,1,20170106
20170203,0,20170107
20170204,0,20170108
20170205,1,20170109
20170206,0,20170110
20170207,0,20170111
20170208,0,20170112
20170209,0,20170113
20170210,0,20170114
20170211,1,20170115
20170212,1,20170116
20170213,0,20170117
20170214,0,20170118
20170215,0,20170119
20170216,0,20170120
20170217,0,20170121
20170218,1,20170122
20170219,1,20170123
20170220,0,20170124
20170221,0,20170125
20170222,0,20170126
20170223,0,20170127
20170224,0,20170128
20170225,1,20170129
20170226,1,20170201
20170227,0,20170202
20170228,0,20170203
20170301,0,20170204
20170302,0,20170205
20170303,0,20170206
20170304,1,20170207
20170305,1,20170208
20170306,0,20170209
20170307,0,20170210
20170308,0,20170211
20170309,0,20170212
20170310,0,20170213
20170311,1,20170214
20170312,1,20170215
20170313,0,20170216
20170314,0,20170217
20170315,0,20170218
20170316,0,20170219
20170317,0,20170220
20170318,1,20170221
20170319,1,20170222
20170320,0,20170223
20170321,0,20170224
20170322,0,20170225
20170323,0,20170226
20170324,0,20170227
20170325,1,20170228
20170326,1,20170229
20170327,0,20170230
20170328,0,20170301
20170329,0,20170302
20170330,0,20170303
20170331,0,20170304
20170401,0,20170305
20170402,1,20170306
20170403,1,20170307
20170404,2,20170308
20170405,0,20170309
20170406,0,20170310
20170407,0,20170311
20170408,1,20170312
20170409,1,20170313
20170410,0,20170314
20170411,0,20170315
20170412,0,20170316
20170413,0,20170317
20170414,0,20170318
20170415,1,20170319
20170416,1,20170320
20170417,0,20170321
20170418,0,20170322
20170419,0,20170323
20170420,0,20170324
20170421,0,20170325
20170422,1,20170326
20170423,1,20170327
20170424,0,20170328
20170425,0,20170329
20170426,0,20170401
20170427,0,20170402
20170428,0,20170403
20170429,1,20170404
20170430,1,20170405
20170501,2,20170406
20170502,0,20170407
20170503,0,20170408
20170504,0,20170409
20170505,0,20170410
20170506,1,20170411
20170507,1,20170412
20170508,0,20170413
20170509,0,20170414
20170510,0,20170415
20170511,0,20170416
20170512,0,20170417
20170513,1,20170418
20170514,1,20170419
20170515,0,20170420
20170516,0,20170421
20170517,0,20170422
20170518,0,20170423
20170519,0,20170424
20170520,1,20170425
20170521,1,20170426
20170522,0,20170427
20170523,0,20170428
20170524,0,20170429
20170525,0,20170430
20170526,0,20170501
20170527,0,20170502
20170528,1,20170503
20170529,1,20170504
20170530,2,20170505
20170531,0,20170506
20170601,0,20170507
20170602,0,20170508
20170603,1,20170509
20170604,1,20170510
20170605,0,20170511
20170606,0,20170512
20170607,0,20170513
20170608,0,20170514
20170609,0,20170515
20170610,1,20170516
20170611,1,20170517
20170612,0,20170518
20170613,0,20170519
20170614,0,20170520
20170615,0,20170521
20170616,0,20170522
20170617,1,20170523
20170618,1,20170524
20170619,0,20170525
20170620,0,20170526
20170621,0,20170527
20170622,0,20170528
20170623,0,20170529
20170624,1,20170601
20170625,1,20170602
20170626,0,20170603
20170627,0,20170604
20170628,0,20170605
20170629,0,20170606
20170630,0,20170607
20170701,1,20170608
20170702,1,20170609
20170703,0,20170610
20170704,0,20170611
20170705,0,20170612
20170706,0,20170613
20170707,0,20170614
20170708,1,20170615
20170709,1,20170616
20170710,0,20170617
20170711,0,20170618
20170712,0,20170619
20170713,0,20170620
20170714,0,20170621
20170715,1,20170622
20170716,1,20170623
20170717,0,20170624
20170718,0,20170625
20170719,0,20170626
20170720,0,20170627
20170721,0,20170628
20170722,1,20170629
20170723,1,20170601
20170724,0,20170602
20170725,0,20170603
20170726,0,20170604
20170727,0,20170605
20170728,0,20170606
20170729,1,20170607
20170730,1,20170608
20170731,0,20170609
20170801,0,20170610
20170802,0,20170611
20170803,0,20170612
20170804,0,20170613
20170805,1,20170614
20170806,1,20170615
20170807,0,20170616
20170808,0,20170617
20170809,0,20170618
20170810,0,20170619
20170811,0,20170620
20170812,1,20170621
20170813,1,20170622
20170814,0,20170623
20170815,0,20170624
20170816,0,20170625
20170817,0,20170626
20170818,0,20170627
20170819,1,20170628
20170820,1,20170629
20170821,0,20170630
20170822,0,20170701
20170823,0,20170702
20170824,0,20170703
20170825,0,20170704
20170826,1,20170705
20170827,1,20170706
20170828,0,20170707
20170829,0,20170708
20170830,0,20170709
20170831,0,20170710
20170901,0,20170711
20170902,1,20170712
20170903,1,20170713
20170904,0,20170714
20170905,0,20170715
20170906,0,20170716
20170907,0,20170717
20170908,0,20170718
20170909,1,20170719
20170910,1,20170720
20170911,0,20170721
20170912,0,20170722
20170913,0,20170723
20170914,0,20170724
20170915,0,20170725
20170916,1,20170726
20170917,1,20170727
20170918,0,20170728
20170919,0,20170729
20170920,0,20170801
20170921,0,20170802
20170922,0,20170803
20170923,1,20170804
20170924,1,20170805
20170925,0,20170806
20170926,0,20170807
20170927,0,20170808
20170928,0,20170809
20170929,0,20170810
20170930,0,20170811
20171001,2,20170812
20171002,2,20170813
20171003,2,20170814
20171004,2,20170815
20171005,1,20170816
20171006,1,20170817
20171007,1,20170818
20171008,1,20170819
20171009,0,20170820
20171010,0,20170821
20171011,0,20170822
20171012,0,20170823
20171013,0,20170824
20171014,1,20170825
20171015,1,20170826
20171016,0,20170827
20171017,0,20170828
20171018,0,20170829
20171019,0,20170830
20171020,0,20170901
20171021,1,20170902
20171022,1,20170903
20171023,0,20170904
20171024,0,20170905
20171025,0,20170906
20171026,0,20170907
20171027,0,20170908
20171028,1,20170909
20171029,1,20170910
20171030,0,20170911
20171031,0,20170912
20171101,0,20170913
20171102,0,20170914
20171103,0,20170915
20171104,1,20170916
20171105,1,20170917
20171106,0,20170918
20171107,0,20170919
20171108,0,20170920
20171109,0,20170921
20171110,0,20170922
20171111,1,20170923
20171112,1,20170924
20171113,0,20170925
20171114,0,20170926
20171115,0,20170927
20171116,0,20170928
20171117,0,20170929
20171118,1,20171001
20171119,1,20171002
20171120,0,20171003
20171121,0,20171004
20171122,0,20171005
20171123,0,20171006
20171124,0,20171007
20171125,1,20171008
20171126,1,20171009
20171127,0,20171010
20171128,0,20171011
20171129,0,20171012
20171130,0,20171013
20171201,0,20171014
20171202,1,20171015
20171203,1,20171016
20171204,0,20171017
20171205,0,20171018
20171206,0,20171019
20171207,0,20171020
20171208,0,20171021
20171209,1,20171022
20171210,1,20171023
20171211,0,20171024
20171212,0,20171025
20171213,0,20171026
20171214,0,20171027
20171215,0,20171028
20171216,1,20171029
20171217,1,20171030
20171218,0,20171101
20171219,0,20171102
20171220,0,20171103
20171221,0,20171104
20171222,0,20171105
20171223,1,20171106
20171224,1,20171107
20171225,0,20171108
20171226,0,20171109
20171227,0,20171110
20171228,0,20171111
20171229,0,20171112
20171230,1,20171113
20171231,1,20171114
20180101,2,20171115
20180102,0,20171116
20180103,0,20171117
20180104,0,20171118
20180105,0,20171119
20180106,1,20171120
20180107,1,20171121
20180108,0,20171122
20180109,0,20171123
20180110,0,20171124
20180111,0,20171125
20180112,0,20171126
20180113,1,20171127
20180114,1,20171128
20180115,0,20171129
20180116,0,20171130
20180117,0,20171201
20180118,0,20171202
20180119,0,20171203
20180120,1,20171204
20180121,1,20171205
20180122,0,20171206
20180123,0,20171207
20180124,0,20171208
20180125,0,20171209
20180126,0,20171210
20180127,1,20171211
20180128,1,20171212
20180129,0,20171213
20180130,0,20171214
20180131,0,20171215
20180201,0,20171216
20180202,0,20171217
20180203,1,20171218
20180204,1,20171219
20180205,0,20171220
20180206,0,20171221
20180207,0,20171222
20180208,0,20171223
20180209,0,20171224
20180210,1,20171225
20180211,0,20171226
20180212,0,20171227
20180213,0,20171228
20180214,0,20171229
20180215,1,20171230
20180216,2,20180101
20180217,2,20180102
20180218,2,20180103
20180219,1,20180104
20180220,1,20180105
20180221,1,20180106
20180222,0,20180107
20180223,0,20180108
20180224,0,20180109
20180225,1,20180110
20180226,0,20180111
20180227,0,20180112
20180228,0,20180113
20180301,0,20180114
20180302,0,20180115
20180303,1,20180116
20180304,1,20180117
20180305,0,20180118
20180306,0,20180119
20180307,0,20180120
20180308,0,20180121
20180309,0,20180122
20180310,1,20180123
20180311,1,20180124
20180312,0,20180125
20180313,0,20180126
