test_id,PM2.5,PM10,O3
miyunshuik_aq#0,34.169563,68.61108,110.62525
miyunshuik_aq#1,35.204132,70.43968,128.35446
miyunshuik_aq#2,36.98629,68.15086,129.64563
miyunshuik_aq#3,37.139984,64.902054,129.88815
miyunshuik_aq#4,37.810654,61.978977,149.34308
miyunshuik_aq#5,37.887146,58.213757,173.00134
miyunshuik_aq#6,37.554886,58.66119,191.28603
miyunshuik_aq#7,37.678993,62.631294,193.07045
miyunshuik_aq#8,38.907425,69.56218,192.15704
miyunshuik_aq#9,41.16703,72.39828,188.69061
miyunshuik_aq#10,43.1471,72.517685,179.91994
miyunshuik_aq#11,44.09186,72.59694,166.18864
miyunshuik_aq#12,44.143063,73.3533,142.8386
miyunshuik_aq#13,44.266613,76.38478,129.8229
miyunshuik_aq#14,44.467663,74.217384,129.64563
miyunshuik_aq#15,44.229015,73.49182,129.64563
miyunshuik_aq#16,44.128506,72.43179,129.55838
miyunshuik_aq#17,44.12567,72.2953,129.34572
miyunshuik_aq#18,44.1243,72.93613,123.06737
miyunshuik_aq#19,44.1243,72.567764,117.26649
miyunshuik_aq#20,44.1243,72.49797,108.13857
miyunshuik_aq#21,44.1243,72.36125,100.21069
miyunshuik_aq#22,44.1243,72.53883,95.783
miyunshuik_aq#23,44.105507,72.55347,92.78813
miyunshuik_aq#24,44.149326,72.57965,104.52184
miyunshuik_aq#25,44.192196,72.65482,127.67902
miyunshuik_aq#26,44.15654,72.57965,129.64563
miyunshuik_aq#27,44.13528,72.57965,129.67424
miyunshuik_aq#28,44.046455,71.5513,137.72476
miyunshuik_aq#29,44.108803,71.59617,159.76036
miyunshuik_aq#30,44.03461,71.82052,166.97589
miyunshuik_aq#31,44.027145,72.28365,174.29063
miyunshuik_aq#32,44.14378,72.69774,173.75465
miyunshuik_aq#33,43.958878,73.13995,168.67087
miyunshuik_aq#34,44.080345,72.86185,157.35097
miyunshuik_aq#35,45.528484,76.51798,155.42245
miyunshuik_aq#36,48.098663,84.02627,135.52539
miyunshuik_aq#37,49.973774,94.79942,129.64563
miyunshuik_aq#38,50.94122,101.40206,129.64563
miyunshuik_aq#39,57.436993,96.24601,129.5802
miyunshuik_aq#40,59.976875,91.65363,129.64563
miyunshuik_aq#41,62.217438,81.49427,128.15614
miyunshuik_aq#42,62.10073,73.54683,121.05764
miyunshuik_aq#43,52.116375,72.623886,113.67346
miyunshuik_aq#44,47.656307,72.344986,103.91456
miyunshuik_aq#45,46.377426,72.409775,96.98447
miyunshuik_aq#46,45.123596,72.87469,89.112335
