test_id,PM2.5,PM10,O3
miyunshuik_aq#0,31.606236,81.51314,114.69133
miyunshuik_aq#1,31.889658,84.79086,132.43005
miyunshuik_aq#2,33.935204,82.002,133.52388
miyunshuik_aq#3,33.951485,77.83485,133.62048
miyunshuik_aq#4,34.69358,73.72767,153.71527
miyunshuik_aq#5,34.737343,68.80554,176.82993
miyunshuik_aq#6,34.20259,69.87697,194.04144
miyunshuik_aq#7,34.247616,76.28625,196.62317
miyunshuik_aq#8,35.397926,83.95491,195.49622
miyunshuik_aq#9,37.74829,86.769844,189.89848
miyunshuik_aq#10,39.9087,87.0096,181.34842
miyunshuik_aq#11,40.960632,87.10577,167.25436
miyunshuik_aq#12,40.962563,87.88635,146.82788
miyunshuik_aq#13,40.992374,90.92578,133.61588
miyunshuik_aq#14,41.081078,88.58251,133.52388
miyunshuik_aq#15,41.059856,88.09304,133.47572
miyunshuik_aq#16,40.96942,86.94814,133.52388
miyunshuik_aq#17,40.965424,86.74761,133.25317
miyunshuik_aq#18,40.960632,87.45248,126.94194
miyunshuik_aq#19,40.960632,87.084114,120.038055
miyunshuik_aq#20,40.960632,86.957375,110.252754
miyunshuik_aq#21,40.960632,86.88411,102.2646
miyunshuik_aq#22,40.960632,87.016685,98.574135
miyunshuik_aq#23,40.960632,87.09599,95.49981
miyunshuik_aq#24,41.002228,87.09599,109.61257
miyunshuik_aq#25,41.012104,87.14037,132.16524
miyunshuik_aq#26,41.020744,87.09599,133.52388
miyunshuik_aq#27,40.960632,87.09599,133.52269
miyunshuik_aq#28,40.88279,86.07667,141.10095
miyunshuik_aq#29,40.945133,85.58354,166.52
miyunshuik_aq#30,40.89153,86.2518,177.71028
miyunshuik_aq#31,40.84696,86.20507,184.66768
miyunshuik_aq#32,40.966476,87.07201,179.67401
miyunshuik_aq#33,40.9373,87.34027,170.3914
miyunshuik_aq#34,41.003807,87.46851,160.82903
miyunshuik_aq#35,42.359215,92.23927,157.09874
miyunshuik_aq#36,46.169224,101.30801,139.81616
miyunshuik_aq#37,48.024933,109.33278,133.52388
miyunshuik_aq#38,49.218876,113.13757,133.52388
miyunshuik_aq#39,56.293545,103.23574,133.52388
miyunshuik_aq#40,56.558258,97.81598,133.52388
miyunshuik_aq#41,58.443607,91.613464,131.93356
miyunshuik_aq#42,58.46162,87.86748,125.11615
miyunshuik_aq#43,48.848156,87.09268,116.27377
miyunshuik_aq#44,44.486526,86.95077,108.08902
miyunshuik_aq#45,43.092613,87.09599,101.02056
miyunshuik_aq#46,41.82764,87.62248,94.78252
miyunshuik_aq#47,41.84072,87.0485,91.985306
tiantan_aq#0,36.59065,95.335846,76.17016
tiantan_aq#1,35.381157,95.33433,109.16761
tiantan_aq#2,39.0821,94.570114,110.45095
tiantan_aq#3,39.498505,91.44572,110.664345
tiantan_aq#4,39.956673,88.5339,135.99835
tiantan_aq#5,40.345406,86.16267,159.5062
tiantan_aq#6,40.232674,89.1912,173.53865
tiantan_aq#7,40.485115,92.8291,183.29465
tiantan_aq#8,40.34336,94.794266,182.04442
tiantan_aq#9,40.881897,97.99958,171.82387
tiantan_aq#10,42.12549,97.802734,164.82654
tiantan_aq#11,42.598225,98.08185,143.24368
tiantan_aq#12,43.55593,98.95089,116.149284
tiantan_aq#13,43.9791,99.67119,110.45095
tiantan_aq#14,43.165756,101.74688,110.50043
tiantan_aq#15,43.847885,98.56617,110.45095
tiantan_aq#16,43.444954,98.42709,110.45095
tiantan_aq#17,43.31015,99.56919,110.1879
tiantan_aq#18,42.836807,98.463104,102.262146
tiantan_aq#19,43.51904,97.45958,95.1053
tiantan_aq#20,42.935745,99.73795,87.25679
tiantan_aq#21,42.513264,98.18972,78.004814
tiantan_aq#22,42.5999,98.110725,72.45987
tiantan_aq#23,42.522057,99.57697,71.39917
tiantan_aq#24,42.600185,99.853516,86.06263
tiantan_aq#25,42.92991,99.48903,109.267494
tiantan_aq#26,43.02711,99.24581,110.45095
tiantan_aq#27,42.895546,99.626434,110.902985
tiantan_aq#28,42.424313,99.264145,124.63213
tiantan_aq#29,41.542763,96.77646,150.17911
tiantan_aq#30,42.031437,95.46981,164.87054
tiantan_aq#31,39.144707,96.29923,171.52963
tiantan_aq#32,39.51252,98.0138,164.373
tiantan_aq#33,41.20147,97.58137,156.69293
tiantan_aq#34,41.446136,98.44575,147.74673
tiantan_aq#35,41.747498,100.93346,135.39513
tiantan_aq#36,42.51349,102.794136,113.73989
tiantan_aq#37,43.669743,105.1239,110.45095
tiantan_aq#38,48.258976,113.50963,110.45095
tiantan_aq#39,47.768223,107.66141,110.45095
tiantan_aq#40,47.757366,102.397255,110.45095
tiantan_aq#41,47.80607,100.35533,108.92337
tiantan_aq#42,45.40289,98.58861,100.43092
tiantan_aq#43,46.12254,99.06938,92.78415
tiantan_aq#44,46.715073,99.52515,86.26604
tiantan_aq#45,45.79685,106.046616,81.67758
tiantan_aq#46,45.53906,111.90565,77.08906
tiantan_aq#47,47.47364,125.0612,77.75239
yizhuang_aq#0,40.927467,102.20245,73.889404
yizhuang_aq#1,39.25517,102.6768,111.500404
yizhuang_aq#2,42.38186,102.162384,112.98217
yizhuang_aq#3,43.475338,99.604294,113.17038
yizhuang_aq#4,43.032387,98.255196,133.51498
yizhuang_aq#5,43.98734,96.4779,158.46962
yizhuang_aq#6,44.2806,95.40717,174.68472
yizhuang_aq#7,43.804573,98.6101,179.77028
yizhuang_aq#8,44.054535,98.81568,183.37534
yizhuang_aq#9,44.273426,101.91829,173.41954
yizhuang_aq#10,44.778767,101.87204,164.02974
yizhuang_aq#11,45.4569,101.99753,144.85014
yizhuang_aq#12,45.2353,102.65826,119.768524
yizhuang_aq#13,45.337105,102.85049,112.98217
yizhuang_aq#14,45.085987,103.16672,112.98217
yizhuang_aq#15,45.851196,102.62107,112.98217
yizhuang_aq#16,46.58441,102.22002,112.98217
yizhuang_aq#17,45.285587,102.11205,112.791756
yizhuang_aq#18,45.117413,101.69239,104.080025
yizhuang_aq#19,45.551346,101.3829,95.02792
yizhuang_aq#20,45.311787,101.503555,86.38594
yizhuang_aq#21,44.750427,101.4761,77.82451
yizhuang_aq#22,44.774788,101.80447,71.70913
yizhuang_aq#23,44.70558,101.9214,71.78273
yizhuang_aq#24,44.834835,103.451065,86.45504
yizhuang_aq#25,45.080246,102.00967,111.77711
yizhuang_aq#26,45.15409,102.234276,112.98217
yizhuang_aq#27,45.2703,101.78016,113.28357
