test_id,PM2.5,PM10,O3
miyunshuik_aq#0,30.305906,63.07679,92.65488
miyunshuik_aq#1,29.953373,64.18655,109.57817
miyunshuik_aq#2,27.008867,62.98132,110.548325
miyunshuik_aq#3,32.223057,60.56963,110.95895
miyunshuik_aq#4,30.290901,58.97485,129.45465
miyunshuik_aq#5,30.01124,56.46462,152.30545
miyunshuik_aq#6,30.83643,55.763344,160.1833
miyunshuik_aq#7,32.713417,57.43853,166.51299
miyunshuik_aq#8,34.408157,64.10808,169.41776
miyunshuik_aq#9,35.646255,65.2594,167.9013
miyunshuik_aq#10,38.28885,65.16913,158.64978
miyunshuik_aq#11,39.15054,65.33033,150.05658
miyunshuik_aq#12,39.213264,65.618904,121.84842
miyunshuik_aq#13,39.478233,67.79096,110.72039
miyunshuik_aq#14,39.329597,67.23355,110.50937
miyunshuik_aq#15,39.189148,66.05464,110.51579
miyunshuik_aq#16,39.198486,65.2588,110.364044
miyunshuik_aq#17,39.157906,65.25314,109.894745
miyunshuik_aq#18,39.157604,65.5125,101.83009
miyunshuik_aq#19,39.157604,65.16913,95.66278
miyunshuik_aq#20,39.157604,64.734436,91.77666
miyunshuik_aq#21,39.163692,70.19554,83.22215
miyunshuik_aq#22,39.157604,70.00249,78.79989
miyunshuik_aq#23,39.165207,71.07563,80.472824
miyunshuik_aq#24,39.157604,67.91967,86.377106
miyunshuik_aq#25,39.157604,65.65622,107.4316
miyunshuik_aq#26,39.139454,65.10945,110.51579
miyunshuik_aq#27,39.17102,65.4841,110.62785
miyunshuik_aq#28,39.191017,65.05199,118.76492
miyunshuik_aq#29,39.145866,64.97269,135.27383
miyunshuik_aq#30,39.13291,64.79306,149.52582
miyunshuik_aq#31,39.131332,64.890366,157.53197
miyunshuik_aq#32,39.13471,65.14374,155.10649
miyunshuik_aq#33,39.157604,65.48277,151.61505
miyunshuik_aq#34,39.183846,65.640144,148.24678
miyunshuik_aq#35,40.760765,68.75822,140.23991
miyunshuik_aq#36,43.064156,75.788155,116.45512
miyunshuik_aq#37,43.659637,81.19244,110.69063
miyunshuik_aq#38,44.03173,84.0156,110.555466
miyunshuik_aq#39,44.425114,80.08619,110.45888
miyunshuik_aq#40,50.003304,73.99341,110.47933
miyunshuik_aq#41,48.980858,67.960495,107.95649
miyunshuik_aq#42,45.090374,65.33904,100.07763
miyunshuik_aq#43,43.81369,65.28243,92.18507
miyunshuik_aq#44,43.396255,65.117004,88.68328
miyunshuik_aq#45,42.404343,67.57225,84.00041
miyunshuik_aq#46,40.995667,72.866646,79.44333
miyunshuik_aq#47,41.486122,65.034775,77.34607
tiantan_aq#0,38.39707,86.64611,69.63917
tiantan_aq#1,36.749336,87.14257,89.64108
tiantan_aq#2,36.164165,84.77782,90.51068
tiantan_aq#3,37.664726,83.81191,90.89952
tiantan_aq#4,37.562,84.39858,118.10213
tiantan_aq#5,36.929035,80.657036,142.48427
tiantan_aq#6,36.755135,77.66634,147.87595
tiantan_aq#7,36.626244,79.891396,160.32225
