test_id,PM2.5,PM10,O3
miyunshuik_aq#0,26.08435,71.56088,98.192024
miyunshuik_aq#1,27.420925,72.54474,111.175156
miyunshuik_aq#2,27.657776,72.72493,114.60837
miyunshuik_aq#3,28.06148,70.27605,115.304955
miyunshuik_aq#4,28.136452,66.629944,127.19354
miyunshuik_aq#5,28.821974,62.09471,153.45045
miyunshuik_aq#6,28.286037,64.65283,163.47955
miyunshuik_aq#7,29.117462,67.09598,170.26962
miyunshuik_aq#8,29.42755,73.09659,163.57915
miyunshuik_aq#9,31.52722,75.90864,158.81262
miyunshuik_aq#10,33.083412,76.05924,149.71082
miyunshuik_aq#11,34.830593,76.127525,143.74155
miyunshuik_aq#12,34.80213,76.690544,124.98719
miyunshuik_aq#13,34.793495,77.53333,114.76462
miyunshuik_aq#14,34.770973,77.37129,114.71764
miyunshuik_aq#15,34.82381,76.7478,114.71764
miyunshuik_aq#16,34.781754,76.23349,114.71764
miyunshuik_aq#17,34.771935,76.297325,113.9737
miyunshuik_aq#18,34.796867,76.40721,108.31415
miyunshuik_aq#19,34.834534,76.00985,103.93933
miyunshuik_aq#20,34.736988,75.879684,96.38396
miyunshuik_aq#21,34.768166,75.87384,86.21031
miyunshuik_aq#22,34.773323,75.54875,82.316055
miyunshuik_aq#23,34.771935,76.01067,82.11082
miyunshuik_aq#24,34.771935,76.01067,93.98835
miyunshuik_aq#25,34.842888,76.0962,111.32068
miyunshuik_aq#26,34.843422,75.9819,114.71764
miyunshuik_aq#27,34.782562,76.00482,114.71764
miyunshuik_aq#28,34.830498,75.8013,120.54597
miyunshuik_aq#29,34.69674,75.283226,141.51373
miyunshuik_aq#30,34.739212,75.61445,156.71439
miyunshuik_aq#31,34.43551,75.844055,165.73721
miyunshuik_aq#32,34.55603,75.94511,170.7275
miyunshuik_aq#33,34.5475,76.1379,167.12064
miyunshuik_aq#34,34.847168,76.63496,165.98833
miyunshuik_aq#35,36.50187,79.86084,156.01747
miyunshuik_aq#36,39.574333,92.95174,132.34581
miyunshuik_aq#37,40.58109,101.406624,114.77976
miyunshuik_aq#38,41.15986,97.63172,114.71764
miyunshuik_aq#39,41.9868,94.66363,114.71764
miyunshuik_aq#40,42.43665,88.030045,114.71764
miyunshuik_aq#41,42.694313,83.43152,114.32836
miyunshuik_aq#42,44.719383,79.21303,109.049515
miyunshuik_aq#43,39.902153,76.52465,106.07892
miyunshuik_aq#44,38.464943,76.28737,99.21557
miyunshuik_aq#45,37.83134,77.195724,88.83558
miyunshuik_aq#46,36.641037,79.75785,85.70083
miyunshuik_aq#47,37.032898,78.05601,84.16892
tiantan_aq#0,46.08795,104.940796,56.219147
tiantan_aq#1,46.442074,105.01458,75.9584
tiantan_aq#2,48.726734,102.72388,80.500725
tiantan_aq#3,49.46174,100.96749,80.73561
tiantan_aq#4,48.247364,99.564384,96.82655
tiantan_aq#5,48.33905,96.36071,130.45389
tiantan_aq#6,46.906128,94.927864,147.41353
tiantan_aq#7,48.37563,99.25639,151.016
tiantan_aq#8,48.54573,103.8491,142.82765
tiantan_aq#9,49.982525,106.572845,129.03506
tiantan_aq#10,51.39831,106.476555,121.092545
tiantan_aq#11,51.79857,106.32541,113.399414
tiantan_aq#12,54.475945,106.786385,90.37738
tiantan_aq#13,61.441925,107.82281,80.6661
tiantan_aq#14,59.68136,106.854515,80.5431
tiantan_aq#15,57.98446,107.29371,80.5431
tiantan_aq#16,56.481945,104.99583,80.5431
tiantan_aq#17,56.205708,107.75418,79.86694
tiantan_aq#18,55.74396,106.83342,73.51825
tiantan_aq#19,53.06508,106.594986,68.95618
tiantan_aq#20,53.941154,106.07176,59.95975
tiantan_aq#21,52.673008,107.34556,54.59664
tiantan_aq#22,51.52237,106.95608,49.884342
tiantan_aq#23,51.721478,107.122314,51.68752
tiantan_aq#24,51.88972,108.4653,61.066097
tiantan_aq#25,52.672585,110.82403,77.295715
tiantan_aq#26,53.40299,110.03117,80.5431
tiantan_aq#27,52.282314,107.93547,80.8258
tiantan_aq#28,52.44014,110.73998,88.063034
tiantan_aq#29,51.10272,105.603195,105.60152
tiantan_aq#30,51.581112,105.5167,119.7905
tiantan_aq#31,47.351124,99.95868,130.00732
tiantan_aq#32,48.25549,104.10326,135.9136
tiantan_aq#33,49.394028,101.96861,131.02151
tiantan_aq#34,48.6922,106.25353,125.92037
tiantan_aq#35,49.005665,102.07014,115.88564
tiantan_aq#36,50.045628,107.412445,94.94583
tiantan_aq#37,49.47443,109.5702,80.5431
tiantan_aq#38,51.52635,121.459236,80.5431
tiantan_aq#39,54.53875,124.60633,80.50459
tiantan_aq#40,56.07481,113.31039,80.4609
tiantan_aq#41,56.868877,105.07677,79.87242
tiantan_aq#42,54.335403,105.52905,73.09444
tiantan_aq#43,52.059032,106.00167,67.38225
tiantan_aq#44,51.786404,100.62623,59.57215
tiantan_aq#45,51.65296,109.28768,55.42415
tiantan_aq#46,51.639,101.21627,49.61696
