test_id,PM2.5,PM10,O3
miyunshuik_aq#0,32.396652,81.17185,112.13257
miyunshuik_aq#1,33.47326,82.923096,125.68073
miyunshuik_aq#2,34.58229,83.10363,129.51813
miyunshuik_aq#3,34.413403,79.80365,130.06694
miyunshuik_aq#4,33.658924,74.9849,141.94986
miyunshuik_aq#5,34.480263,68.851746,167.0968
miyunshuik_aq#6,33.652603,74.0195,181.74353
miyunshuik_aq#7,34.967567,76.86811,189.21237
miyunshuik_aq#8,34.9758,84.3201,181.5013
miyunshuik_aq#9,37.13778,86.4981,177.46231
miyunshuik_aq#10,39.04986,86.723915,171.4484
miyunshuik_aq#11,40.90806,86.79368,160.06555
miyunshuik_aq#12,40.901398,87.19791,138.24016
miyunshuik_aq#13,40.89621,88.15586,129.62741
miyunshuik_aq#14,40.893738,87.905945,129.62741
miyunshuik_aq#15,40.95294,87.293915,129.62741
miyunshuik_aq#16,40.91788,86.93461,129.62741
miyunshuik_aq#17,40.882168,86.707886,128.91037
miyunshuik_aq#18,40.90806,87.104454,123.432175
miyunshuik_aq#19,40.90806,86.66226,118.274254
miyunshuik_aq#20,40.873245,86.58246,108.86363
miyunshuik_aq#21,40.904243,86.589264,98.78047
miyunshuik_aq#22,40.907936,86.245964,96.99013
miyunshuik_aq#23,40.90806,86.707886,95.958626
miyunshuik_aq#24,40.90806,86.707886,108.65512
miyunshuik_aq#25,40.97901,86.79342,126.25875
miyunshuik_aq#26,40.97955,86.707886,129.58856
miyunshuik_aq#27,40.918686,86.88407,129.62741
miyunshuik_aq#28,40.90806,86.8527,134.70007
miyunshuik_aq#29,40.87695,85.95956,151.94563
miyunshuik_aq#30,40.87587,86.4224,165.25679
miyunshuik_aq#31,40.59157,86.84565,173.26302
miyunshuik_aq#32,40.7718,86.82261,173.77608
miyunshuik_aq#33,40.750786,87.30065,176.09702
miyunshuik_aq#34,41.053223,87.27786,180.2605
miyunshuik_aq#35,42.19953,90.89658,161.65466
miyunshuik_aq#36,45.890182,103.92635,147.68684
miyunshuik_aq#37,48.45496,116.488335,129.68951
miyunshuik_aq#38,50.816845,113.46241,129.62741
miyunshuik_aq#39,53.16388,107.25784,129.62741
miyunshuik_aq#40,51.057087,98.63418,129.59982
miyunshuik_aq#41,50.767574,92.95451,129.06955
miyunshuik_aq#42,52.673225,89.87455,124.09102
miyunshuik_aq#43,45.634853,87.21556,123.36005
miyunshuik_aq#44,45.027565,87.169685,115.48835
miyunshuik_aq#45,43.430817,86.70511,104.95832
miyunshuik_aq#46,42.781166,86.84323,101.95896
miyunshuik_aq#47,43.47313,87.536896,99.419075
tiantan_aq#0,53.59941,113.67063,60.031994
tiantan_aq#1,56.333675,112.16131,79.88892
tiantan_aq#2,64.7174,110.41128,84.21154
tiantan_aq#3,72.42183,109.98021,84.37409
tiantan_aq#4,73.02521,108.12951,99.9617
tiantan_aq#5,72.74588,104.24914,132.96771
tiantan_aq#6,73.13515,104.17393,151.37929
tiantan_aq#7,74.58703,110.6257,154.51233
tiantan_aq#8,74.11989,113.52031,147.98961
tiantan_aq#9,74.27724,115.83507,136.49188
tiantan_aq#10,75.13497,115.71263,127.88181
tiantan_aq#11,75.38943,115.55815,118.07699
tiantan_aq#12,77.597664,115.74895,93.53646
tiantan_aq#13,84.846146,116.84448,84.38957
tiantan_aq#14,85.115166,116.131165,84.253914
tiantan_aq#15,81.256165,117.01998,84.253914
tiantan_aq#16,81.23934,115.13171,84.253914
tiantan_aq#17,82.84095,117.10914,83.520935
tiantan_aq#18,80.31737,115.60494,77.40158
tiantan_aq#19,76.66157,115.46014,72.31073
tiantan_aq#20,77.290245,115.0077,62.568455
tiantan_aq#21,76.10093,116.14243,56.57981
tiantan_aq#22,74.840034,116.17265,52.028675
tiantan_aq#23,74.97977,116.31513,54.5267
tiantan_aq#24,75.25953,117.648346,64.541695
tiantan_aq#25,77.02853,119.24876,80.96214
tiantan_aq#26,78.17512,119.160545,84.253914
tiantan_aq#27,76.78511,117.47492,84.44631
tiantan_aq#28,76.29397,120.75896,91.17143
tiantan_aq#29,74.249886,115.38301,106.816605
tiantan_aq#30,74.82464,115.110695,123.52057
tiantan_aq#31,70.35896,109.63782,131.88945
tiantan_aq#32,71.76009,113.49979,136.3028
tiantan_aq#33,72.62558,111.511696,130.48898
tiantan_aq#34,71.5961,115.7559,126.81335
tiantan_aq#35,71.36345,111.35319,109.77622
tiantan_aq#36,71.66061,114.01089,97.316444
tiantan_aq#37,71.509,115.18032,84.253914
tiantan_aq#38,72.72443,123.57166,84.253914
tiantan_aq#39,68.43363,126.113396,84.21541
tiantan_aq#40,63.44832,120.96607,84.17171
