time,station_id,temperature,pressure,humidity,wind_speed,wind_direction
2018-05-11 00:00:00,beijing_grid_216,19.0,1001.5658,41.0,7.58,186.2
2018-05-11 01:00:00,beijing_grid_216,19.0,1001.5553,39.0,9.3,184.01
2018-05-11 02:00:00,beijing_grid_216,20.0,1001.9488,37.0,11.11,181.52
2018-05-11 03:00:00,beijing_grid_216,20.0,999.7037,35.0,12.27,178.44
2018-05-11 04:00:00,beijing_grid_216,20.0,998.8298,32.0,15.95,188.54
2018-05-11 05:00:00,beijing_grid_216,20.0,998.0521,30.0,15.06,188.42
2018-05-11 06:00:00,beijing_grid_216,22.0,997.3957,30.0,13.79,189.43
2018-05-11 07:00:00,beijing_grid_216,23.0,998.133,32.0,12.95,195.21
2018-05-11 08:00:00,beijing_grid_216,23.0,997.8989,34.0,12.11,198.78
2018-05-11 09:00:00,beijing_grid_216,23.0,997.8329,37.0,11.02,205.09
2018-05-11 10:00:00,beijing_grid_216,23.0,998.7265,49.0,9.62,198.72
2018-05-11 11:00:00,beijing_grid_216,22.0,997.5121,51.0,8.12,207.44
2018-05-11 12:00:00,beijing_grid_216,22.0,998.7049,54.0,5.73,209.12
2018-05-11 13:00:00,beijing_grid_216,20.0,998.998379141,58.0,3.21,216.95
2018-05-11 14:00:00,beijing_grid_216,19.0,999.366632563,61.0,0.81,235.53
2018-05-11 15:00:00,beijing_grid_216,18.0,999.571953125,65.0,1.04,48.97
2018-05-11 16:00:00,beijing_grid_216,18.0,999.444148989,68.0,2.26,77.4
2018-05-11 17:00:00,beijing_grid_216,18.0,999.083052018,70.0,3.33,95.58
2018-05-11 18:00:00,beijing_grid_216,18.0,998.656,73.0,3.87,101.97
2018-05-11 19:00:00,beijing_grid_216,15.0,998.301279533,77.0,3.49,93.92
2018-05-11 20:00:00,beijing_grid_216,15.0,998.040972445,80.0,3.17,71.47
2018-05-11 21:00:00,beijing_grid_216,16.4,997.868109375,80.0,3.87,53.27
2018-05-11 22:00:00,beijing_grid_216,18.6,997.771646075,78.0,5.27,53.54
2018-05-11 23:00:00,beijing_grid_216,20.6,997.724238757,72.0,6.5,60.92
2018-05-12 00:00:00,beijing_grid_216,23.0,997.69446875,66.0,6.74,71.31
2018-05-12 01:00:00,beijing_grid_216,25.0,997.626372859,60.0,5.58,90.1
2018-05-12 02:00:00,beijing_grid_216,26.6,997.365809796,54.0,4.74,131.02
2018-05-12 03:00:00,beijing_grid_216,27.8,996.73409375,48.0,6.88,172.05
2018-05-12 04:00:00,beijing_grid_216,28.6,995.633994434,43.0,10.72,189.01
2018-05-12 05:00:00,beijing_grid_216,28.9,994.294103657,38.0,13.48,195.14
2018-05-12 06:00:00,beijing_grid_216,29.0,993.02446875,34.0,13.02,196.7
2018-05-12 07:00:00,beijing_grid_216,29.0,992.082221163,31.0,8.31,192.93
2018-05-12 08:00:00,beijing_grid_216,29.0,991.512828817,31.0,2.33,148.65
2018-05-12 09:00:00,beijing_grid_216,28.7,991.30884375,36.0,5.15,54.69
2018-05-12 10:00:00,beijing_grid_216,28.6,991.445454246,46.0,7.58,51.87
2018-05-12 11:00:00,beijing_grid_216,26.1,991.828393575,58.0,6.95,56.28
2018-05-12 12:00:00,beijing_grid_216,23.09,992.34603125,68.0,3.67,57.19
