time,station_id,temperature,pressure,humidity,wind_direction,wind_speed
2018-04-11 00:00:00,beijing_grid_216,15.0,1003.8982,31.0,253.33,5.92
2018-04-11 01:00:00,beijing_grid_216,17.0,1003.9952,26.0,231.95,7.43
2018-04-11 02:00:00,beijing_grid_216,20.0,1003.7491,21.0,220.97,9.86
2018-04-11 03:00:00,beijing_grid_216,22.0,1003.1276,17.0,215.71,11.79
2018-04-11 04:00:00,beijing_grid_216,23.0,1001.4879,17.0,219.33,15.3
2018-04-11 05:00:00,beijing_grid_216,24.0,1001.7356,14.0,219.59,12.64
2018-04-11 06:00:00,beijing_grid_216,24.0,1000.0279,13.0,206.56,11.65
2018-04-11 07:00:00,beijing_grid_216,25.0,999.376,13.0,196.69,13.68
2018-04-11 08:00:00,beijing_grid_216,25.0,998.8963,14.0,192.22,17.11
2018-04-11 09:00:00,beijing_grid_216,25.0,998.7234,16.0,192.2,19.07
2018-04-11 10:00:00,beijing_grid_216,25.0,999.278,22.0,197.62,19.6
2018-04-11 11:00:00,beijing_grid_216,23.0,999.8277,25.0,204.49,14.99
2018-04-11 12:00:00,beijing_grid_216,23.0,1001.3686,28.0,217.23,11.32
2018-04-11 13:00:00,beijing_grid_216,19.0,1000.9095,31.0,229.32,8.33
2018-04-11 14:00:00,beijing_grid_216,17.0,1001.2788,33.0,237.66,7.15
2018-04-11 15:00:00,beijing_grid_216,16.0,1001.563,34.0,244.51,5.94
2018-04-11 16:00:00,beijing_grid_216,12.0,1001.4537,34.0,247.27,5.23
2018-04-11 17:00:00,beijing_grid_216,11.0,1001.9535,34.0,282.23,3.84
2018-04-11 18:00:00,beijing_grid_216,10.2,1002.555,35.0,329.24,4.09
2018-04-11 19:00:00,beijing_grid_216,9.6,1003.23,36.0,2.9,5.48
2018-04-11 20:00:00,beijing_grid_216,9.1,1004.0127,36.0,24.09,7.73
2018-04-11 21:00:00,beijing_grid_216,9.0,1004.9529,36.0,35.18,10.88
2018-04-11 22:00:00,beijing_grid_216,10.0,1005.63,33.0,37.62,13.56
2018-04-11 23:00:00,beijing_grid_216,14.0,1006.866,30.0,42.21,16.39
2018-04-12 00:00:00,beijing_grid_216,15.0,1008.0119,27.0,46.82,18.61
2018-04-12 01:00:00,beijing_grid_216,16.0,1008.8827,24.0,52.74,19.9
2018-04-12 02:00:00,beijing_grid_216,16.0,1009.4228,21.0,60.98,20.1
2018-04-12 03:00:00,beijing_grid_216,19.0,1009.609,19.0,73.32,19.3
2018-04-12 04:00:00,beijing_grid_216,19.0,1009.609,19.0,73.32,19.3
2018-04-12 05:00:00,beijing_grid_216,19.0,1009.609,19.0,73.32,19.3
2018-04-12 06:00:00,beijing_grid_216,22.0,1008.3903,17.0,112.1,17.95
2018-04-12 07:00:00,beijing_grid_216,22.0,1008.3903,17.0,112.1,17.95
2018-04-12 08:00:00,beijing_grid_216,23.0,1007.991,17.0,121.42,19.94
2018-04-12 09:00:00,beijing_grid_216,21.0,1008.1219,18.0,120.0,18.61
2018-04-12 10:00:00,beijing_grid_216,20.0,1008.7032,21.0,118.75,15.18
2018-04-12 11:00:00,beijing_grid_216,18.0,1009.4188,21.0,109.97,10.83
2018-04-12 12:00:00,beijing_grid_216,17.0,1010.3295,20.0,92.3,7.78
2018-04-12 13:00:00,beijing_grid_216,16.0,1011.3517,20.0,74.43,7.29
2018-04-12 14:00:00,beijing_grid_216,15.0,1012.2801,19.0,67.46,8.04
