time,station_id,temperature,pressure,humidity,wind_direction,wind_speed
2018-04-11 00:00:00,london_grid_346,10.15,1001.9334,89.0,49.63,10.39
2018-04-11 01:00:00,london_grid_346,9.98,1001.8121,90.0,45.29,9.59
2018-04-11 02:00:00,london_grid_346,9.8,1001.6875,91.0,41.62,8.85
2018-04-11 03:00:00,london_grid_346,9.66,1001.6492,92.0,38.07,8.28
2018-04-11 04:00:00,london_grid_346,9.38,1001.6487,91.0,18.02,8.42
2018-04-11 05:00:00,london_grid_346,9.18,1001.8349,91.0,19.67,9.01
2018-04-11 06:00:00,london_grid_346,9.1,1003.0583,89.0,22.35,9.63
2018-04-11 07:00:00,london_grid_346,8.53,1002.159,90.0,24.9,10.93
2018-04-11 08:00:00,london_grid_346,8.32,1002.2501,88.0,27.5,11.6
2018-04-11 09:00:00,london_grid_346,8.6,1002.3458,86.0,32.21,11.38
2018-04-11 10:00:00,london_grid_346,9.52,1003.0385,77.0,41.24,10.91
2018-04-11 11:00:00,london_grid_346,12.03,1003.9178,67.0,55.81,9.06
2018-04-11 12:00:00,london_grid_346,13.68,1002.6509,65.0,67.75,9.44
2018-04-11 13:00:00,london_grid_346,14.91,1002.2894,61.0,69.4,9.76
2018-04-11 14:00:00,london_grid_346,15.4,1001.8911,59.0,64.39,10.34
2018-04-11 15:00:00,london_grid_346,15.66,1002.5198,55.0,59.23,10.46
2018-04-11 16:00:00,london_grid_346,12.84,1001.8866,67.0,41.95,10.73
2018-04-11 17:00:00,london_grid_346,12.39,1001.6333,71.0,43.83,10.62
2018-04-11 18:00:00,london_grid_346,11.92,1001.483,77.0,49.17,10.14
2018-04-11 19:00:00,london_grid_346,11.73,1002.5013,79.0,57.55,9.36
2018-04-11 20:00:00,london_grid_346,10.77,1001.5854,87.0,65.07,8.89
2018-04-11 21:00:00,london_grid_346,10.3,1001.6281,90.0,70.78,8.44
2018-04-11 22:00:00,london_grid_346,9.7,1001.9074,87.0,44.72,8.82
2018-04-11 23:00:00,london_grid_346,9.55,1001.5157,89.0,45.17,8.69
2018-04-12 00:00:00,london_grid_346,9.46,1001.0519,91.0,43.84,8.74
2018-04-12 01:00:00,london_grid_346,9.33,1000.6383,91.0,39.25,9.03
2018-04-12 02:00:00,london_grid_346,9.16,1000.2842,91.0,33.11,9.48
2018-04-12 03:00:00,london_grid_346,8.97,999.9706,90.0,27.33,9.92
2018-04-12 04:00:00,london_grid_346,8.97,999.9706,90.0,27.33,9.92
2018-04-12 05:00:00,london_grid_346,7.48,999.6664,89.0,20.92,11.46
2018-04-12 06:00:00,london_grid_346,7.48,999.6664,89.0,20.92,11.46
2018-04-12 07:00:00,london_grid_346,7.48,999.6664,89.0,20.92,11.46
2018-04-12 08:00:00,london_grid_346,8.42,1000.1261,87.0,17.51,9.63
2018-04-12 09:00:00,london_grid_346,9.22,998.9988,86.0,22.3,10.06
2018-04-12 10:00:00,london_grid_346,8.38,999.6823,82.0,18.62,10.22
2018-04-12 11:00:00,london_grid_346,9.92,999.3704,80.0,26.85,10.01
2018-04-12 12:00:00,london_grid_346,11.24,998.9631,78.0,35.4,9.9
2018-04-12 13:00:00,london_grid_346,11.85,998.5436,78.0,41.23,9.79
2018-04-12 14:00:00,london_grid_346,11.88,998.1614,79.0,42.95,9.69
2018-04-12 15:00:00,london_grid_346,11.61,997.858,80.0,39.44,9.74
2018-04-12 16:00:00,london_grid_346,11.22,999.1309,79.0,12.17,10.68
2018-04-12 17:00:00,london_grid_346,10.63,998.0781,83.0,11.45,12.25
2018-04-12 18:00:00,london_grid_346,10.2,998.0823,85.0,11.43,12.85
2018-04-12 19:00:00,london_grid_346,9.91,999.1233,84.0,9.7,12.25
2018-04-12 20:00:00,london_grid_346,9.34,998.1672,86.0,9.5,11.45
2018-04-12 21:00:00,london_grid_346,9.19,999.2911,84.0,8.89,9.86
2018-04-12 22:00:00,london_grid_346,6.83,998.7852,85.0,2.18,8.99
2018-04-12 23:00:00,london_grid_346,6.9,998.7645,86.0,357.08,7.6
2018-04-13 00:00:00,london_grid_346,7.12,998.6692,88.0,347.76,6.56
2018-04-13 01:00:00,london_grid_346,7.39,999.5573,88.0,333.49,6.04
2018-04-13 02:00:00,london_grid_346,7.46,999.4736,88.0,319.82,6.22
2018-04-13 03:00:00,london_grid_346,7.23,998.5087,89.0,310.68,6.28
2018-04-13 04:00:00,london_grid_346,6.27,999.1164,89.0,288.72,5.43
2018-04-13 05:00:00,london_grid_346,6.26,999.5333,89.0,280.29,4.91
2018-04-13 06:00:00,london_grid_346,6.6,999.9769,88.0,270.51,4.78
2018-04-13 07:00:00,london_grid_346,7.39,1000.3934,84.0,261.21,5.48
2018-04-13 08:00:00,london_grid_346,8.49,1000.8217,79.0,253.63,6.63
2018-04-13 09:00:00,london_grid_346,9.74,1001.3241,74.0,245.76,7.7
2018-04-13 10:00:00,london_grid_346,11.15,1002.0485,66.0,234.47,7.96
2018-04-13 11:00:00,london_grid_346,12.39,1002.4891,63.0,235.71,9.1
2018-04-13 12:00:00,london_grid_346,13.2,1002.9062,62.0,237.08,9.78
2018-04-13 13:00:00,london_grid_346,13.38,1003.3153,63.0,237.65,9.81
2018-04-13 14:00:00,london_grid_346,13.12,1003.7385,65.0,237.89,9.36
2018-04-13 15:00:00,london_grid_346,12.92,1005.2237,66.0,239.18,8.36
2018-04-13 16:00:00,london_grid_346,12.2,1006.6252,67.0,225.96,8.22
2018-04-13 17:00:00,london_grid_346,11.82,1006.0089,72.0,236.17,8.27
2018-04-13 18:00:00,london_grid_346,11.53,1006.4139,75.0,241.84,7.98
2018-04-13 19:00:00,london_grid_346,11.39,1007.9312,75.0,235.56,6.95
2018-04-13 20:00:00,london_grid_346,10.75,1008.5071,79.0,216.59,5.97
2018-04-13 21:00:00,london_grid_346,9.6,1008.1728,84.0,200.61,6.24
2018-04-13 22:00:00,london_grid_346,9.92,1009.0125,81.0,209.19,5.61
2018-04-13 23:00:00,london_grid_346,9.19,1009.4948,84.0,216.52,5.73
2018-04-14 00:00:00,london_grid_346,8.58,1009.9008,86.0,223.72,5.81
2018-04-14 01:00:00,london_grid_346,8.2,1010.2511,88.0,225.58,5.49
2018-04-14 02:00:00,london_grid_346,7.95,1010.5444,89.0,223.6,4.93
2018-04-14 03:00:00,london_grid_346,8.07,1011.7975,89.0,222.25,4.23
2018-04-14 04:00:00,london_grid_346,7.32,1011.3229,90.0,232.32,4.0
2018-04-14 05:00:00,london_grid_346,7.13,1011.557,90.0,234.23,3.72
2018-04-14 06:00:00,london_grid_346,7.52,1011.7815,88.0,230.03,3.35
2018-04-14 07:00:00,london_grid_346,8.77,1012.0167,82.0,213.02,2.93
2018-04-14 08:00:00,london_grid_346,10.59,1012.2352,74.0,187.18,3.07
2018-04-14 09:00:00,london_grid_346,12.54,1012.3979,65.0,170.41,3.93
