test_id,PM2.5,PM10,O3
dongsi_aq#0,0,0,0
dongsi_aq#1,0,0,0
dongsi_aq#2,0,0,0
dongsi_aq#3,0,0,0
dongsi_aq#4,0,0,0
dongsi_aq#5,0,0,0
dongsi_aq#6,0,0,0
dongsi_aq#7,0,0,0
dongsi_aq#8,0,0,0
dongsi_aq#9,0,0,0
dongsi_aq#10,0,0,0
dongsi_aq#11,0,0,0
dongsi_aq#12,0,0,0
dongsi_aq#13,0,0,0
dongsi_aq#14,0,0,0
dongsi_aq#15,0,0,0
dongsi_aq#16,0,0,0
dongsi_aq#17,0,0,0
dongsi_aq#18,0,0,0
dongsi_aq#19,0,0,0
dongsi_aq#20,0,0,0
dongsi_aq#21,0,0,0
dongsi_aq#22,0,0,0
dongsi_aq#23,0,0,0
dongsi_aq#24,0,0,0
dongsi_aq#25,0,0,0
dongsi_aq#26,0,0,0
dongsi_aq#27,0,0,0
dongsi_aq#28,0,0,0
dongsi_aq#29,0,0,0
dongsi_aq#30,0,0,0
dongsi_aq#31,0,0,0
dongsi_aq#32,0,0,0
dongsi_aq#33,0,0,0
dongsi_aq#34,0,0,0
dongsi_aq#35,0,0,0
dongsi_aq#36,0,0,0
dongsi_aq#37,0,0,0
dongsi_aq#38,0,0,0
dongsi_aq#39,0,0,0
dongsi_aq#40,0,0,0
dongsi_aq#41,0,0,0
dongsi_aq#42,0,0,0
dongsi_aq#43,0,0,0
dongsi_aq#44,0,0,0
dongsi_aq#45,0,0,0
dongsi_aq#46,0,0,0
dongsi_aq#47,0,0,0
tiantan_aq#0,0,0,0
tiantan_aq#1,0,0,0
tiantan_aq#2,0,0,0
tiantan_aq#3,0,0,0
tiantan_aq#4,0,0,0
tiantan_aq#5,0,0,0
tiantan_aq#6,0,0,0
tiantan_aq#7,0,0,0
tiantan_aq#8,0,0,0
tiantan_aq#9,0,0,0
tiantan_aq#10,0,0,0
tiantan_aq#11,0,0,0
tiantan_aq#12,0,0,0
tiantan_aq#13,0,0,0
tiantan_aq#14,0,0,0
tiantan_aq#15,0,0,0
tiantan_aq#16,0,0,0
tiantan_aq#17,0,0,0
tiantan_aq#18,0,0,0
tiantan_aq#19,0,0,0
tiantan_aq#20,0,0,0
tiantan_aq#21,0,0,0
tiantan_aq#22,0,0,0
tiantan_aq#23,0,0,0
tiantan_aq#24,0,0,0
tiantan_aq#25,0,0,0
tiantan_aq#26,0,0,0
tiantan_aq#27,0,0,0
tiantan_aq#28,0,0,0
tiantan_aq#29,0,0,0
